Matrix,Mode,Threads,Schedule,Chunk_size,avg_l1_load,avg_l1_miss,l1_miss_rate,avg_ll_load,avg_ll_miss,ll_miss_rate
twotone.mtx, Parallel, 1, dynamic, 10, 766550.00, 38977.00, 5.08, 6558.80, 807.80, 12.32
twotone.mtx, Parallel, 1, dynamic, 100, 766551.00, 38933.00, 5.08, 6563.80, 1185.80, 18.07
twotone.mtx, Parallel, 1, dynamic, 1000, 766550.00, 38942.20, 5.08, 6578.00, 1729.20, 26.29
twotone.mtx, Parallel, 1, guided, 10, 766550.00, 39030.40, 5.09, 6644.60, 1160.60, 17.47
twotone.mtx, Parallel, 1, guided, 100, 766551.00, 39110.60, 5.10, 6661.80, 1782.00, 26.75
twotone.mtx, Parallel, 1, guided, 1000, 766550.20, 38822.40, 5.06, 6622.60, 1149.40, 17.36
twotone.mtx, Parallel, 2, static, 10, 766550.00, 38965.40, 5.08, 6597.00, 1428.60, 21.66
twotone.mtx, Parallel, 2, static, 100, 766551.00, 38839.00, 5.07, 6574.40, 1009.00, 15.35
twotone.mtx, Parallel, 2, static, 1000, 766550.20, 38783.40, 5.06, 6590.40, 421.40, 6.39
twotone.mtx, Parallel, 2, dynamic, 10, 766550.00, 38856.40, 5.07, 6569.00, 1821.00, 27.72
twotone.mtx, Parallel, 2, dynamic, 100, 766551.00, 38912.20, 5.08, 6580.40, 2056.20, 31.25
twotone.mtx, Parallel, 2, dynamic, 1000, 766549.80, 38898.80, 5.07, 6583.80, 1778.20, 27.01
twotone.mtx, Parallel, 2, guided, 10, 766550.00, 38913.20, 5.08, 6622.80, 1641.20, 24.78
twotone.mtx, Parallel, 2, guided, 100, 766551.00, 38882.00, 5.07, 6642.40, 1280.40, 19.28
twotone.mtx, Parallel, 2, guided, 1000, 766550.20, 39007.00, 5.09, 6587.60, 1851.00, 28.10
twotone.mtx, Parallel, 4, static, 10, 766549.80, 38909.60, 5.08, 6527.00, 1194.80, 18.31
twotone.mtx, Parallel, 4, static, 100, 766551.00, 39044.80, 5.09, 6552.60, 1828.20, 27.90
twotone.mtx, Parallel, 4, static, 1000, 766550.20, 38807.20, 5.06, 6550.20, 1358.20, 20.74
twotone.mtx, Parallel, 4, dynamic, 10, 766549.60, 38886.20, 5.07, 6604.40, 1501.80, 22.74
twotone.mtx, Parallel, 4, dynamic, 100, 766551.00, 38917.80, 5.08, 6544.80, 1406.60, 21.49
twotone.mtx, Parallel, 4, dynamic, 1000, 766550.20, 39011.40, 5.09, 6620.80, 1551.00, 23.43
twotone.mtx, Parallel, 4, guided, 10, 766549.60, 38884.00, 5.07, 6629.20, 535.40, 8.08
twotone.mtx, Parallel, 4, guided, 100, 766551.00, 38905.60, 5.08, 6624.60, 1885.00, 28.45
twotone.mtx, Parallel, 4, guided, 1000, 766549.80, 38813.20, 5.06, 6582.20, 1243.60, 18.89
twotone.mtx, Parallel, 8, static, 10, 766549.60, 38835.00, 5.07, 6601.00, 1550.00, 23.48
twotone.mtx, Parallel, 8, static, 100, 766551.00, 38832.00, 5.07, 6578.80, 714.20, 10.86
twotone.mtx, Parallel, 8, static, 1000, 766549.80, 39152.60, 5.11, 6633.60, 1317.00, 19.85
twotone.mtx, Parallel, 8, dynamic, 10, 766550.00, 38881.20, 5.07, 6585.60, 2234.00, 33.92
twotone.mtx, Parallel, 8, dynamic, 100, 766550.80, 38987.60, 5.09, 6559.20, 999.20, 15.23
twotone.mtx, Parallel, 8, dynamic, 1000, 766550.00, 38964.40, 5.08, 6572.80, 1754.40, 26.69
twotone.mtx, Parallel, 8, guided, 10, 766550.20, 38750.60, 5.06, 6562.00, 1040.40, 15.85
twotone.mtx, Parallel, 8, guided, 100, 766551.40, 38963.60, 5.08, 6593.60, 1262.80, 19.15
twotone.mtx, Parallel, 8, guided, 1000, 766549.80, 38945.40, 5.08, 6590.40, 1648.80, 25.02
twotone.mtx, Parallel, 16, static, 10, 766554.80, 38961.60, 5.08, 6573.20, 1338.40, 20.36
twotone.mtx, Parallel, 16, static, 100, 766556.00, 38884.40, 5.07, 6586.60, 1533.60, 23.28
twotone.mtx, Parallel, 16, static, 1000, 766554.80, 38965.80, 5.08, 6575.60, 1660.20, 25.25
twotone.mtx, Parallel, 16, dynamic, 10, 766555.00, 38821.40, 5.06, 6589.20, 1529.40, 23.21
twotone.mtx, Parallel, 16, dynamic, 100, 766555.80, 38964.20, 5.08, 6601.00, 1828.00, 27.69
twotone.mtx, Parallel, 16, dynamic, 1000, 766554.00, 38861.20, 5.07, 6588.80, 1126.00, 17.09
twotone.mtx, Parallel, 16, guided, 10, 766555.20, 38935.60, 5.08, 6586.00, 1239.80, 18.82
twotone.mtx, Parallel, 16, guided, 100, 766556.00, 39027.60, 5.09, 6591.80, 1960.60, 29.74
twotone.mtx, Parallel, 16, guided, 1000, 766554.80, 38883.80, 5.07, 6591.40, 774.80, 11.75
twotone.mtx, Parallel, 32, static, 10, 766554.60, 38767.40, 5.06, 6590.60, 1060.20, 16.09
twotone.mtx, Parallel, 32, static, 100, 766556.00, 38969.20, 5.08, 6661.20, 1581.80, 23.75
twotone.mtx, Parallel, 32, static, 1000, 766555.00, 38808.00, 5.06, 6577.60, 884.20, 13.44
twotone.mtx, Parallel, 32, dynamic, 10, 766555.00, 38689.20, 5.05, 6623.20, 1167.80, 17.63
twotone.mtx, Parallel, 32, dynamic, 100, 766556.00, 38816.60, 5.06, 6591.00, 1838.00, 27.89
twotone.mtx, Parallel, 32, dynamic, 1000, 766553.80, 38799.60, 5.06, 6591.20, 1108.80, 16.82
twotone.mtx, Parallel, 32, guided, 10, 766555.00, 38851.60, 5.07, 6556.60, 2028.60, 30.94
twotone.mtx, Parallel, 32, guided, 100, 766555.40, 39047.40, 5.09, 6586.00, 1155.00, 17.54
twotone.mtx, Parallel, 32, guided, 1000, 766554.60, 39139.00, 5.11, 6581.60, 2177.40, 33.08
twotone.mtx, Parallel, 64, static, 10, 766555.20, 38837.40, 5.07, 6605.60, 1421.00, 21.51
twotone.mtx, Parallel, 64, static, 100, 766556.00, 39012.40, 5.09, 6594.00, 1388.80, 21.06
twotone.mtx, Parallel, 64, static, 1000, 766555.00, 39006.60, 5.09, 6642.60, 1830.80, 27.56
twotone.mtx, Parallel, 64, dynamic, 10, 766555.00, 38864.20, 5.07, 6588.00, 804.00, 12.20
twotone.mtx, Parallel, 64, dynamic, 100, 766555.80, 38861.40, 5.07, 6606.60, 1385.60, 20.97
twotone.mtx, Parallel, 64, dynamic, 1000, 766553.60, 39055.00, 5.09, 6608.40, 2013.80, 30.47
twotone.mtx, Parallel, 64, guided, 10, 766554.60, 38976.20, 5.08, 6557.00, 1495.60, 22.81
twotone.mtx, Parallel, 64, guided, 100, 766556.40, 38792.80, 5.06, 6634.60, 566.60, 8.54
twotone.mtx, Parallel, 64, guided, 1000, 766555.00, 39007.60, 5.09, 6586.80, 1781.60, 27.05
